token;x;y
"fact";0.9936120063110736;0.4247588079494379
"independent";0.8919916737314396;0.40377021239190547
"we";0.8856118017855851;0.3525865341617367
"cosine";0.9181609033979133;0.40370179111948296
"gives";0.8804184848698866;0.3882006910937525
"especially";0.9521518740165495;0.4132511656128089
"similar";0.8958706720545598;0.41440115212310147
"theory";0.9238806508269554;0.39576991535427225
"values";0.9179826772310236;0.396580339424798
"one";0.9012755170867177;0.4349437319897667
"full";0.9829609325117494;0.37588238801059887
"related";0.9187707354020819;0.3899432499218933
"coefficient";0.9468564023394791;0.42106255990040575
"subject";0.9152412909028328;0.4245509048423262
"below";0.9527456442793368;0.4138334431578482
"retrieval";0.9272747532130011;0.4068549486524947
"an";0.9011274275320547;0.3949795801220798
"is";0.9200248300637403;0.4046022962689056
"matrix";0.9541713858922327;0.390511196812847
"v";0.9339999262520847;0.4078035457286683
"another";0.8089137244984452;0.44490989930022273
"however";0.9125231387843423;0.39043773212581967
"useful";0.9944727490996094;0.4247054389448775
"field";0.8408443593284595;0.38977428190044666
"on";0.8883042976817153;0.39754385364709627
"different";0.9119017559421582;0.4064637179156183
"orchini";0.9749236737230856;0.37380719249768
"subquadratic";0.9178815487660961;0.40147518126109893
"angle";0.9657187601452463;0.3915939453835826
"bounded";0.9179192902087923;0.40462045877430564
"21";0.9131955312675759;0.3835251033607548
"generalize";0.9466809276906485;0.4095145721911251
"include";0.9232884917641137;0.38549439229705745
"comparison";0.9261030542552185;0.40229921510155603
"implementation";0.8507244926483725;0.4424258999598435
"term";0.9082339178472035;0.40338558439854716
"individual";0.9110064971603253;0.40307776384195926
"source";0.8388024395404207;0.41913670172370454
"proposes";0.8767894524923668;0.358589400526433
"inner";0.8672865062554215;0.41632716314393786
"need";0.9040145558063485;0.45922259964001433
"vector";0.9182660757557993;0.4045510725805526
"with";0.9126765931285555;0.405858770269479
"maximally";0.9106216477779894;0.40103303020656234
"tasks";0.8885743884753124;0.42510974990011063
"coordinate";0.8791490696043572;0.3792678589383107
"mapped";0.8482525131421693;0.42470156238346213
"n";0.9253937641869034;0.40681278870381604
"wordnet";0.8540658948265524;0.3652695539903963
"and";0.9173832208553424;0.40384278407788315
"features";0.9136481006174919;0.4047528163307716
"gensim";0.9014255172977717;0.3913811115729286
"monotonic";0.8884497776898738;0.41910240606464016
"yet";0.8907139412664526;0.43627226119121054
"has";0.918720236685423;0.3927000983932753
"among";0.8524811767372138;0.39131201184210485
"binary";0.914794360669532;0.4153632011146843
"how";0.855657596445814;0.40905026074528333
"ordering";0.905242284543283;0.4118007181781042
"other";0.9113662890182976;0.40618962834825617
"game";0.9154314093343341;0.396310567467251
"at";0.8457036273931849;0.4587734819793094
"shannon";0.8582854392228028;0.3979090010357271
"least";0.8976845345435549;0.39314768186389637
"traditional";0.9071058082449636;0.4736876171651353
"proportional";0.9256337759347099;0.40042676924024995
"open";0.8608807860997763;0.39853274398667604
"note";0.9159354065595301;0.4012319186683741
"mining";0.9382496789901223;0.3887312019604244
"magnitudes";0.8916898229037815;0.4165463212123151
"applicable";0.9072824273192526;0.3980325468815745
"words";0.9162533807207468;0.4038585468338354
"property";0.9728718726042016;0.4529968681525225
"learning";0.9096148256766422;0.41446115299479175
"length";0.908872200344688;0.3976459123746969
"contexts";0.9474656927392415;0.42106605258288043
"quite";0.9150921726524355;0.4219598799512899
"points";0.9639505713054279;0.3776178723014705
"document";0.829575157312483;0.40769819432173243
"unit";0.982919656658674;0.4168580453679616
"matter";0.9172401735739805;0.40362102568841696
"well";0.9171148438324956;0.4031441428451466
"can";0.9153123770239926;0.4040192377271018
"efficient";0.9186622114517958;0.41485579918071275
"this";0.9371983984771249;0.40415896836337606
"case";0.9184877901208961;0.40438875771270544
"cohesion";0.8754223005753633;0.4280223574947942
"interval";0.9546913848087816;0.43193102598793404
"standard";0.8993194591638303;0.40190839955754654
"expensive";0.957473319067625;0.4697743801094094
"within";0.8850682401911021;0.40412034692226834
"formally";0.8418182538589958;0.43298376993560905
"grams";0.9190387163277765;0.3985628334264628
"similarity";0.9180174787903791;0.4041392596162953
"grounding";0.8653807320028157;0.42943706971293943
"divided";0.9341633033436112;0.4314179377163357
"relative";0.9081874455230919;0.40200622273110154
"not";0.8946633071701205;0.36878987557057247
"operations";0.9219764540263314;0.4098198798823682
"language";0.8903174710906991;0.3479659051787338
"of";0.9178668190255244;0.40419373785484847
